CCYY-MM-DD_HH:NN:SS          SITE           U10           V10             W            T2           SLP           RH2          RAIN         CLFRL         CLFRT          SWDN
2024-06-23_03_00_00       beizhai        0.28        0.54      -0.086      294.23      998.58       81.06        0.00        0.00        0.00        0.00
2024-06-23_03_00_00    dengzhoulu        1.45       -0.49       0.005      295.83      998.27       82.42        0.00        0.00        0.00        0.00
2024-06-23_03_00_00       shangma        3.24       -1.02      -0.005      294.70      998.06       62.01        0.00        0.00        0.00        0.00
2024-06-23_03_00_00    xingdenglu       -0.48        1.39      -0.030      294.90      998.33       93.97        0.00        0.00        0.00        0.00
2024-06-23_04_00_00      badaguan        3.41       -3.20      -0.024      295.79      998.14       64.31        0.00        0.00        0.00        0.00
2024-06-23_04_00_00       beizhai       -0.05       -1.51      -0.094      293.69      998.41       71.60        0.00        0.00        0.00        0.00
2024-06-23_04_00_00    dengzhoulu        2.18       -2.15      -0.000      295.81      998.18       54.47        0.00        0.00        0.00        0.00
2024-06-23_04_00_00       shangma        2.20       -2.36      -0.004      292.98      998.26       29.08        0.00        0.00        0.00        0.00
2024-06-23_04_00_00    xingdenglu        0.25       -0.04      -0.011      295.04      998.27       84.51        0.00        0.00        0.00        0.00
2024-06-23_05_00_00      badaguan        2.56       -3.98      -0.022      295.07      998.45       41.70        0.00        0.00        0.00        0.00
2024-06-23_05_00_00       beizhai       -0.76       -2.77      -0.129      293.05      998.53       61.35        0.00        0.00        0.00        0.00
2024-06-23_05_00_00    dengzhoulu        1.68       -2.84      -0.006      294.82      998.44       30.04        0.00        0.00        0.00        0.00
2024-06-23_05_00_00       shangma        2.07       -2.78      -0.005      292.41      998.52       59.58        0.00        0.00        0.00        0.00
2024-06-23_05_00_00    xingdenglu        0.82       -2.91       0.000      293.95      998.52       25.15        0.00        0.00        0.00        0.00
2024-06-23_06_00_00      badaguan        1.23       -2.67      -0.018      294.86      999.77       67.51        0.00        0.00        0.00      119.00
2024-06-23_06_00_00       beizhai       -1.58       -2.97      -0.156      297.55      999.72       42.27        0.00        0.00        0.00      124.13
2024-06-23_06_00_00    dengzhoulu        1.05       -2.57      -0.006      295.19      999.77       53.19        0.00        0.00        0.00      119.45
2024-06-23_06_00_00       shangma        1.62       -1.87      -0.003      294.78      999.78       64.10        0.00        0.00        0.00      119.53
2024-06-23_06_00_00    xingdenglu        0.46       -2.66       0.005      295.14      999.70       54.79        0.00        0.00        0.00      121.02
2024-06-23_07_00_00      badaguan        1.32       -2.30      -0.020      295.22      999.49       73.03        0.00        0.00        0.00      329.45
2024-06-23_07_00_00       beizhai       -0.54       -3.48      -0.064      300.16      999.39       33.77        0.00        0.00        0.00      335.99
2024-06-23_07_00_00    dengzhoulu        1.06       -2.40      -0.007      296.36      999.50       57.33        0.00        0.00        0.00      329.94
2024-06-23_07_00_00       shangma        1.19       -2.35       0.000      297.07      999.46       56.09        0.00        0.00        0.00      330.22
2024-06-23_07_00_00    xingdenglu        0.43       -2.31       0.001      297.45      999.36       53.60        0.00        0.00        0.00      331.41
2024-06-23_08_00_00      badaguan        2.64       -2.09      -0.020      295.95      999.82       70.53        0.00        0.00        0.00      544.30
2024-06-23_08_00_00       beizhai        1.95       -1.50       0.044      301.37      999.81       29.68        0.00        0.00        0.00      550.70
2024-06-23_08_00_00    dengzhoulu        2.20       -2.00      -0.002      298.03      999.86       50.47        0.00        0.00        0.00      544.75
2024-06-23_08_00_00       shangma        1.73       -1.59      -0.001      299.43      999.96       44.09        0.00        0.00        0.00      544.41
2024-06-23_08_00_00    xingdenglu        2.50       -1.09       0.036      298.10      999.83       52.79        0.00        0.00        0.00      545.50
2024-06-23_09_00_00      badaguan        3.62       -2.95      -0.023      296.95      999.15       63.40        0.00        0.00        0.00      738.72
2024-06-23_09_00_00       beizhai        3.88       -3.05       0.064      301.57      999.31       30.02        0.00        0.00        0.00      744.13
2024-06-23_09_00_00    dengzhoulu        3.44       -2.88      -0.001      299.86      999.19       40.38        0.00        0.00        0.00      739.15
2024-06-23_09_00_00       shangma        2.92       -2.87      -0.002      301.54      999.33       33.79        0.00        0.00        0.00      734.67
2024-06-23_09_00_00    xingdenglu        3.65       -1.98       0.048      299.89      999.18       41.78        0.00        0.00        0.00      738.73
2024-06-23_10_00_00      badaguan        3.41       -1.86      -0.014      297.89      999.00       58.17        0.00        0.00        0.00      892.84
2024-06-23_10_00_00       beizhai        4.98       -0.83       0.125      302.68      999.00       25.00        0.00        0.00        0.00      897.62
2024-06-23_10_00_00    dengzhoulu        3.52       -1.78       0.001      301.87      999.01       30.78        0.00        0.00        0.00      892.87
2024-06-23_10_00_00       shangma        3.90       -1.67      -0.004      302.94      998.70       27.74        0.00        0.00        0.00      887.15
2024-06-23_10_00_00    xingdenglu        3.41       -0.37       0.048      301.35      998.85       35.54        0.00        0.00        0.00      891.82
2024-06-23_11_00_00      badaguan        2.54       -1.91      -0.014      298.98      999.26       50.91        0.00        0.00        0.00      993.82
2024-06-23_11_00_00       beizhai        5.29        0.29       0.160      302.92      999.64       24.31        0.00        0.00        0.00      998.64
2024-06-23_11_00_00    dengzhoulu        2.95       -1.72      -0.000      303.25      999.33       25.00        0.00        0.00        0.00      994.11
2024-06-23_11_00_00       shangma        5.48       -0.65      -0.006      304.45      999.09       22.09        0.00        0.00        0.00      987.39
2024-06-23_11_00_00    xingdenglu        3.00        1.21       0.040      301.82      999.37       33.20        0.00        0.00        0.00      990.78
2024-06-23_12_00_00      badaguan        1.87       -2.13      -0.012      300.24      998.94       43.97        0.00        0.00        0.00     1030.21
2024-06-23_12_00_00       beizhai        4.83       -1.47       0.122      303.66      999.49       21.89        0.00        0.00        0.00     1036.16
2024-06-23_12_00_00    dengzhoulu        2.97       -3.42      -0.005      304.70      998.95       20.44        0.00        0.00        0.00     1031.29
2024-06-23_12_00_00       shangma        6.36       -2.21      -0.006      305.15      999.04       19.74        0.00        0.00        0.00     1029.74
2024-06-23_12_00_00    xingdenglu        2.96       -0.45       0.037      303.44      999.04       26.47        0.00        0.00        0.00     1030.74
2024-06-23_13_00_00      badaguan        2.51        0.18       0.007      299.79      997.90       46.29        0.00        0.00        0.00     1012.96
2024-06-23_13_00_00       beizhai        5.34       -3.31       0.102      304.39      998.01       20.05        0.00        0.00        0.00     1017.24
2024-06-23_13_00_00    dengzhoulu        3.01       -2.03       0.014      304.82      997.85       20.60        0.00        0.00        0.00     1013.49
2024-06-23_13_00_00       shangma        6.07       -2.44      -0.006      305.43      997.60       20.42        0.00        0.00        0.00     1012.18
2024-06-23_13_00_00    xingdenglu        5.22       -3.75       0.062      304.40      997.48       24.80        0.00        0.00        0.00     1013.65
2024-06-23_14_00_00      badaguan        0.82        2.61       0.029      299.71      998.14       47.00        0.00        0.00        0.00      937.83
2024-06-23_14_00_00       beizhai        5.65        0.55       0.162      304.83      998.30       20.75        0.00        0.00        0.00      940.30
2024-06-23_14_00_00    dengzhoulu        1.62        1.77       0.024      304.76      998.11       21.36        0.00        0.00        0.00      938.33
2024-06-23_14_00_00       shangma        6.40       -0.52      -0.008      306.22      997.56       19.48        0.00        0.00        0.00      940.75
2024-06-23_14_00_00    xingdenglu        5.20       -1.39       0.065      304.79      997.71       25.09        0.00        0.00        0.00      938.73
2024-06-23_15_00_00      badaguan       -0.53        4.01       0.036      297.94      998.07       56.58        0.00        0.00        0.00      812.31
2024-06-23_15_00_00       beizhai        5.10        1.77       0.164      304.77      998.13       21.12        0.00        0.00        0.00      812.61
2024-06-23_15_00_00    dengzhoulu       -0.40        4.11       0.016      302.97      998.07       26.20        0.00        0.00        0.00      812.62
2024-06-23_15_00_00       shangma        7.34        0.83      -0.008      306.59      997.59       18.26        0.00        0.00        0.00      813.84
